candidate,list_pos,party
65213f4a2536897c4e14e622,1,6521429a0327fbb14e67be34
65213f842536897c4e14e7d2,1,6521429d0327fbb14e67be53
65213f6d2536897c4e14e710,1,6521429a0327fbb14e67be39
65213f552536897c4e14e66a,1,6521429a0327fbb14e67be3c
65213f5a2536897c4e14e68d,1,6521429a0327fbb14e67be3d
65213f742536897c4e14e746,1,6521429d0327fbb14e67be54
65213f662536897c4e14e6e3,1,6522240a6d9b75f5428cc2a9
65213f4c2536897c4e14e630,1,6521429b0327fbb14e67be3f
65213f882536897c4e14e7ff,1,6522240a6d9b75f5428cc2aa
65213f852536897c4e14e7d7,1,6521429c0327fbb14e67be51
65213f8c2536897c4e14e82a,1,6521429b0327fbb14e67be40
65213f4a2536897c4e14e624,2,6521429a0327fbb14e67be34
65213f8a2536897c4e14e815,2,6521429d0327fbb14e67be53
65213f752536897c4e14e753,2,6521429a0327fbb14e67be39
65213f542536897c4e14e667,2,6521429a0327fbb14e67be3c
65213f772536897c4e14e761,2,6521429a0327fbb14e67be3d
65213f672536897c4e14e6e7,2,6521429b0327fbb14e67be3f
65213f462536897c4e14e607,2,6521429c0327fbb14e67be51
65213f8d2536897c4e14e82d,2,6521429b0327fbb14e67be40
65213f5c2536897c4e14e698,2,6522240a6d9b75f5428cc2b2
65213f492536897c4e14e61b,3,6521429a0327fbb14e67be34
65213f872536897c4e14e7f5,3,6521429d0327fbb14e67be53
65213f4e2536897c4e14e640,3,6521429a0327fbb14e67be39
65213f742536897c4e14e74c,3,6521429a0327fbb14e67be3c
65213f752536897c4e14e754,3,6521429a0327fbb14e67be3d
65213f4b2536897c4e14e629,3,6521429b0327fbb14e67be3f
65213f812536897c4e14e7b6,3,6522240a6d9b75f5428cc2a9
65213f7b2536897c4e14e780,3,6521429b0327fbb14e67be47
65213f7e2536897c4e14e798,3,6522240a6d9b75f5428cc2b2
65213f7a2536897c4e14e778,4,6521429d0327fbb14e67be53
65213f6d2536897c4e14e711,4,6521429a0327fbb14e67be39
65213f642536897c4e14e6d6,4,6521429a0327fbb14e67be3c
65213f6a2536897c4e14e700,4,6522240a6d9b75f5428cc2b2
65213f7f2536897c4e14e79d,4,6521429b0327fbb14e67be3f
65213f902536897c4e14e851,4,6521429b0327fbb14e67be40
65213f5e2536897c4e14e6a5,5,6521429d0327fbb14e67be53
65213f6d2536897c4e14e715,5,6521429a0327fbb14e67be39
65213f5a2536897c4e14e689,5,6521429a0327fbb14e67be3c
65213f5a2536897c4e14e68e,5,6521429a0327fbb14e67be3d
65213f4b2536897c4e14e62c,5,6521429b0327fbb14e67be3f
65213f912536897c4e14e859,5,6521429b0327fbb14e67be40
65213f5f2536897c4e14e6a9,5,6521429b0327fbb14e67be47
65213f462536897c4e14e606,6,6521429a0327fbb14e67be34
65213f732536897c4e14e741,6,6521429d0327fbb14e67be53
65213f752536897c4e14e750,6,6521429a0327fbb14e67be3c
65213f582536897c4e14e681,6,6521429b0327fbb14e67be3f
65213f692536897c4e14e6f7,6,6521429c0327fbb14e67be51
65213f8d2536897c4e14e835,6,6521429b0327fbb14e67be40
65213f5f2536897c4e14e6ac,6,6521429b0327fbb14e67be47
65213f462536897c4e14e604,7,6521429a0327fbb14e67be34
65213f5d2536897c4e14e6a2,7,6521429d0327fbb14e67be53
65213f6d2536897c4e14e712,7,6521429a0327fbb14e67be39
65213f752536897c4e14e751,7,6521429a0327fbb14e67be3c
65213f5b2536897c4e14e690,7,6521429a0327fbb14e67be3d
65213f4d2536897c4e14e639,7,6521429b0327fbb14e67be3f
65213f7c2536897c4e14e786,7,6521429b0327fbb14e67be47
65213f8b2536897c4e14e81c,7,6522240a6d9b75f5428cc2b2
65213f462536897c4e14e608,8,6521429a0327fbb14e67be34
65213f912536897c4e14e857,8,6521429d0327fbb14e67be53
65213f6d2536897c4e14e713,8,6521429a0327fbb14e67be39
65213f712536897c4e14e732,8,6521429a0327fbb14e67be3c
65213f6b2536897c4e14e706,8,6521429a0327fbb14e67be3d
65213f572536897c4e14e67c,8,6521429b0327fbb14e67be3f
65213f852536897c4e14e7da,9,6522240a6d9b75f5428cc2a9
65213f7a2536897c4e14e777,9,6521429d0327fbb14e67be53
65213f4e2536897c4e14e641,9,6521429a0327fbb14e67be39
65213f562536897c4e14e673,9,6521429a0327fbb14e67be3c
65213f762536897c4e14e75d,9,6521429a0327fbb14e67be3d
65213f7f2536897c4e14e79c,9,6521429a0327fbb14e67be34
65213f732536897c4e14e73e,9,6521429b0327fbb14e67be3f
65213f8d2536897c4e14e833,9,6521429b0327fbb14e67be40
