id,party,list_pos,electorate,name
150,Green Party,9,New Lynn,"ABEL, Steve"
383,NewZeal,2,East Coast Bays,"ADAMS, Paul"
29,ACT New Zealand,30,Takanini,"AH CHEE, Rae"
456,Green Party,,Christchurch East,"AHMED, Sahra"
254,Labour Party,64,Taupō,"AL-BUSTANJI, Aladdin"
126,Freedoms NZ,20,Māngere,"ALAILIMA, Fuiavailili"
425,The Opportunities Party (TOP),2,Wellington Central,"ALBERT, Natalia"
116,Freedoms NZ,10,Pakuranga,"ALCOCK, John"
102,DemocracyNZ,9,Banks Peninsula,"ALLINGTON, Doug"
32,ACT New Zealand,33,New Lynn,"ALVAREZ DE LUGO, Juan"
207,Labour Party,17,Hutt South,"ANDERSEN, Ginny"
87,Aotearoa Legalise Cannabis Party,10,Wigram,"ANDERSON, Blair"
35,ACT New Zealand,36,,"ANDERSON, Dion"
317,National Party,59,Waitaki,"ANDERSON, Miles"
577,New Zealand Loyal,,Whangārei,"ANDREWS, Janita"
36,ACT New Zealand,37,Whangaparāoa,"ANGELO, Simon"
378,New Zealand First Party,35,Coromandel,"ANSELL, Caleb"
79,Aotearoa Legalise Cannabis Party,2,Wellington Central,"APPLEBY, Michael George"
349,New Zealand First Party,6,Kaikōura,"ARBUCKLE, Jamie Arthur"
454,New Zealand Loyal,,Botany,"ARMSTRONG, John"
366,New Zealand First Party,23,Christchurch Central,"ARNEIL, Mark"
362,New Zealand First Party,19,Wellington Central,"ARNEIL, Taylor"
373,New Zealand First Party,30,Whanganui,"ARNOLD, William"
562,New Zealand Loyal,,Wairarapa,"ARNOTT, Pete"
56,ACT New Zealand,57,Kaipara ki Mahurangi,"BAILEY, Brent"
564,New Zealand Loyal,,Waitaki,"BAILEY, Ray"
16,ACT New Zealand,17,Nelson,"BAILLIE, Chris"
567,,,Wellington Central,"BAINS, Pete"
256,Leighton Baker Party,1,Waimakariri,"BAKER, Leighton"
549,,,Tauranga,"BALDOCK, Larry"
359,New Zealand First Party,16,Rangitata,"BALLANTYNE, Robert"
471,New Zealand Loyal,,Hamilton East,"BAN, Tanya"
310,National Party,52,Palmerston North,"BANSAL, Ankit"
339,New Nation Party,6,,"BARNES, Nathan Lee"
170,Green Party,29,North Shore,"BASKETT, Pat"
305,National Party,47,Whanganui,"BATES, Carl"
273,National Party,15,Port Waikato,"BAYLY, Andrew"
171,Green Party,30,Whangārei,"BAZELEY, Rick"
37,ACT New Zealand,38,Waitaki,"BEAMISH, Sean"
72,Animal Justice Party,12,Palmerston North,"BEGG, Douglas"
216,Labour Party,26,Epsom,"BELICH, Camilla"
408,Te Pāti Māori,16,,"BELL, Bridget Frances"
219,Labour Party,29,New Plymouth,"BENNETT, Glen"
357,New Zealand First Party,14,Whangārei,"BENNEY, Gavin"
487,Protect and Prosper New Zealand,,Mana,"BHARGAVA, Kush"
318,National Party,60,Northcote,"BIDOIS, Dan"
261,National Party,3,Hutt South,"BISHOP, Chris"
384,NewZeal,3,Rotorua,"BLACK-VERCOE, Kariana"
476,New Zealand Loyal,,Hutt South,"BLAKE, Jordan"
290,National Party,32,Māngere,"BOURKE, Rosemary"
232,Labour Party,42,Nelson,"BOYACK, Rachel Elizabeth"
229,Labour Party,39,Waiariki,"BOYNTON, Toni"
38,ACT New Zealand,39,Whangārei,"BRETHERTON, Susy"
320,National Party,62,Upper Harbour,"BREWER, Cameron"
103,DemocracyNZ,10,Kaipara ki Mahurangi,"BREWER, Sarah"
493,,,Maungakiekie,"BRIDGE, Phillip"
98,DemocracyNZ,5,Port Waikato,"BRIGHT, Scotty"
83,Aotearoa Legalise Cannabis Party,6,Ilam,"BRITNELL, Irinka"
80,Aotearoa Legalise Cannabis Party,3,Christchurch Central,"BRITNELL, Michael"
213,Labour Party,23,Dunedin,"BROOKING, Rachel"
21,ACT New Zealand,22,Mana,"BROWN, Lily"
480,Money Free Party NZ,,Kaikōura,"BROWN, Shaun"
267,National Party,9,Pakuranga,"BROWN, Simeon"
93,Aotearoa Legalise Cannabis Party,16,,"BROWN, Tony"
172,Green Party,31,Kaipara ki Mahurangi,"BROWN, Zephyr"
272,National Party,14,,"BROWNLEE, Gerry"
523,Green Party,,Port Waikato,"BUCHANAN, Karla"
101,DemocracyNZ,8,Whangārei,"BURGESS, Diana"
53,ACT New Zealand,54,Botany,"BURNS, Bo"
546,,,Taranaki-King Country,"BURR, Bill"
414,Te Pāti Māori,22,,"BUTLER, Teresa"
529,Labour Party,,Rangitīkei,"BUTT, Zulfiqar"
319,National Party,61,Wairarapa,"BUTTERICK, Mike"
293,National Party,35,Nelson,"CAMERON, Blair"
6,ACT New Zealand,7,Northland,"CAMERON, Mark"
415,Te Pāti Māori,23,,"CAMPBELL-KAMARIERA, Kyla"
321,National Party,63,Ilam,"CAMPBELL, Hamish"
39,ACT New Zealand,40,Waimakariri,"CAMPBELL, Ross Eric"
104,DemocracyNZ,11,Kaikōura,"CAMPBELL, Sandra"
465,,,East Coast,"CARACAS, Monaco"
68,Animal Justice Party,8,Hamilton East,"CARRINGTON, Lily"
155,Green Party,14,Christchurch Central,"CARTER, Kahurangi"
40,ACT New Zealand,41,Wairarapa,"CASEY, Simon Francis"
285,National Party,27,Remutaka,"CHATTERTON, Emma"
223,Labour Party,33,East Coast Bays,"CHEN, Naisi"
306,National Party,48,Mt Roskill,"CHEUNG, Carlos"
5,ACT New Zealand,6,Upper Harbour,"CHHOUR, Karen"
25,ACT New Zealand,26,Mt Roskill,"CHOPRA, Rahul"
34,ACT New Zealand,35,Port Waikato,"CHRISTENSEN, Neil"
286,National Party,28,,"CHRISTMAS, James"
120,Freedoms NZ,14,Maungakiekie,"CHUAH, Eric"
446,Women’s Rights Party,10,,"CLARK, MacKenzie"
124,Freedoms NZ,18,Rangitata,"CLARKSON, Michael"
458,New Zealand Loyal,,Coromandel,"COBB, Ray"
226,Labour Party,36,East Coast,"COFFEY, Tamati"
86,Aotearoa Legalise Cannabis Party,9,Auckland Central,"COKER, Christopher"
